"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0,184193.696829472,0,0,184193.696829472,0,0
0.001,184117.572994495,62.5465124279498,55.2681426466979,184235.38764957,0.000299986573436272,0.00063947896534807
0.002,184041.648459459,125.04212303735,110.491839362394,184277.182421859,0.000599595880023005,0.00127815044328465
0.003,183965.856799854,187.486965809448,165.671207411988,184319.014973075,0.000898828628376672,0.00191601595349794
0.004,183903.671538119,249.8994833711,220.822542415495,184374.393563906,0.0011976855253436,0.00255307701187605
0.005,183814.620257994,312.224795720014,275.897348788248,184402.742402502,0.00149616727600524,0.00318933513051855
0.006,183736.662694311,374.512893982869,330.939799801747,184442.115388095,0.00179427458368387,0.00382479181774853
0.007,183674.563326782,436.786413397606,385.969896323012,184497.319636503,0.00209200814994738,0.00445944857812359
0.008,183585.3031982,498.944599197803,440.898604491669,184525.14640189,0.00238936867461633,0.00509330691244934
0.009,183509.464646625,561.083848689919,495.811105457558,184566.359600773,0.00268635685576735,0.00572636831778879
0.01,183439.397174005,623.191849204515,550.696518162394,184613.285541372,0.00298297338974004,0.00635863428747569
0.011,183360.90653115,685.221437388378,605.5131646565,184651.641133195,0.00327921897114213,0.00699010631112578
0.012,183283.353989724,747.20219021581,660.287180038691,184690.843359978,0.00357509429285422,0.00762078587464774
0.013,183212.083425196,809.158663707485,715.040262975563,184736.28235188,0.00387060004603523,0.00825067446025467
0.014,183140.545560773,871.066109337784,769.750542721803,184781.362212832,0.00416573692012942,0.00887977354647751
0.015,183057.188462838,932.865384256618,824.365754122168,184814.419601216,0.00446050560286878,0.00950808460817318
0.016,183000.258560944,994.75233965719,879.058968317706,184874.069868919,0.00475490678028014,0.010135609116538
0.017,182914.598426739,1056.43534606703,933.572472837524,184904.606245644,0.00504894113669231,0.010762348539121
0.018,182832.499316751,1118.08258903234,988.054891002551,184938.636796785,0.00534260935473557,0.011388304339829
0.019,182754.352694878,1179.70022383035,1042.51166137341,184976.564580081,0.00563591211535384,0.0120134779789453
0.02,182679.608329219,1241.28853914079,1096.94303822566,185017.839906585,0.00592885009780409,0.0126378709131347
0.02,182679.608329219,1241.28853914079,1096.94303822566,185017.839906585,0.00592885009780409,0.0126378709131347
0.03,181931.601295418,1854.40874479864,1638.843330765,185424.853370982,0.00883831536588111,0.0188391793875369
0.04,181192.584771057,2462.63324590451,2176.46770759638,185831.685724557,0.0117120376921209,0.0249639932792572
0.05,180471.931989617,3066.21159122849,2710.03567128283,186248.179252129,0.0145506693389694,0.0310137113055579
0.06,179801.130462726,3665.97169438853,3240.27798298782,186707.380140102,0.0173548468226397,0.0369896983836098
0.07,178998.446467562,4258.09747596959,3763.8206299415,187020.364573473,0.0201251913850421,0.0428932866439771
0.08,178288.331908658,4847.34503168159,4284.86646026378,187420.543400604,0.0228623094486769,0.0487257764076889
0.09,177570.322353098,5431.58419498769,4801.5316392739,187803.43818736,0.02556679305564,0.0544884371288913
0.1,176862.505061805,6011.34793491081,5314.28632236484,188188.139319081,0.0282392202908933,0.060182508303951
0.11,176157.79898219,6586.47422967082,5822.98633292998,188567.259544791,0.0308801556907966,0.0658092003487656
0.12,175458.874259548,7157.10251635059,6327.75400586221,188943.730781761,0.0334901506373401,0.0713696954454045
0.13,174777.006001818,7723.78885442447,6829.08007069728,189329.874926939,0.036069743738713,0.0768651483593784
0.14,174089.471724509,8285.62466810163,7326.16032268937,189701.2567153,0.0386194611967402,0.0822966872287034
0.15,173403.369687602,8842.91295285529,7819.26174474503,190065.544385202,0.0411398171616939,0.0876654143258675
0.16,172736.11474405,9396.61452122344,8309.2330717948,190441.962337068,0.043631314075036,0.0929724067938357
0.17,172071.060998994,9945.95847681295,8795.39181608716,190812.411291894,0.0460944430005261,0.098218717357073
0.18,171412.567365789,10491.2329709913,9277.99195583474,191181.792292615,0.0485296839441396,0.103405375008558
0.19,170730.451275203,11030.5538563,9755.36635285691,191516.37148436,0.0509375061632972,0.10853338567379
0.2,170082.875528079,11567.6345977548,10230.7983045755,191881.308430409,0.0533183684657121,0.113603732852573
0.21,169422.622956201,12099.4547903777,10701.6157701092,192223.693516687,0.0556727194984429,0.118617378239626
0.22,168778.164539509,12628.0141275819,11169.5865802083,192575.765247299,0.0580009980272683,0.123575262324572
0.23,168156.435876182,13154.0154266893,11635.3317287801,192945.783031652,0.0603036332070104,0.12847830497235
0.24,167512.593190032,13674.029264834,12095.8170116168,193282.439466483,0.0625810448430022,0.133327405984648
0.25,166869.396978193,14189.7641865385,12552.5528732487,193611.714037981,0.0648336436440324,0.138123445643073
0.26,166241.770108995,14702.5455931919,13006.7110702993,193951.026772487,0.0670618314671608,0.142867285234821
0.27,165619.631163872,15211.6056411139,13457.6116813151,194288.848486301,0.0692660015547107,0.147559767561495
