"InfHuman_values","S_v_loop","E_v_loop","I_v_loop","V_loop","Prev_loop","Pos_loop"
0,203555.45237488,0,0,203555.45237488,0,0
0.001,203467.643962631,71.5577818093021,66.2243782420082,203605.426122683,0.000325258415274771,0.000676711631291641
0.002,203379.006765837,143.053881913937,132.392149872324,203654.452797623,0.000650082274429253,0.00135251661823461
0.003,203294.421840346,214.492574445991,198.50726967249,203707.421684464,0.000974472446958613,0.00202741677599849
0.004,203208.388644286,285.870395424496,264.566530528277,203758.825570239,0.0012984297970302,0.00270141391133524
0.005,203115.404312889,357.176138815557,330.559561050907,203803.140012756,0.00162195519181019,0.00337450983249532
0.006,203041.329030547,428.457038264872,396.530070867385,203866.316139679,0.00194504947347801,0.00404670631595175
0.007,202939.806662032,499.618921244501,462.39091187324,203901.816495149,0.00226771354871299,0.00471800521277173
0.008,202887.17767591,570.847616909786,528.314056260189,203986.33934908,0.00258994821881719,0.00538840824673553
0.009,202766.645793107,641.825015731392,594.005103496802,204002.475912335,0.00291175438356964,0.0060579172566477
0.01,202679.562711295,712.835926829757,659.727635628433,204052.126273753,0.00323313286499819,0.00672653398679501
0.011,202609.392757535,783.851669742722,725.455108567774,204118.699535845,0.0035540845116955,0.0073942602110565
0.012,202502.823391739,854.665084785087,790.995800695209,204148.484277219,0.00387461020587884,0.00806109774121862
0.013,202419.595341284,925.510909947731,856.566955249963,204201.673206482,0.00419471075726119,0.00872704830090065
0.014,202329.089287485,996.263005415628,922.051831363245,204247.404124264,0.00451438702644303,0.0093921136721609
0.015,202240.910421478,1066.96436403843,987.490217323225,204295.365002839,0.00483363984938914,0.0100562956057917
0.016,202154.680618605,1137.61531225578,1052.88241444837,204345.178345309,0.00515247006547506,0.0107195958546307
0.017,202092.948106317,1208.35272468553,1118.35509815012,204419.655929152,0.00547087848801445,0.0113820161386145
0.018,201981.392027466,1278.73193255305,1183.49672992982,204443.620689949,0.00578886602543917,0.0120435582884583
0.019,201897.932644708,1349.2210722455,1248.74056533897,204495.894282292,0.00610643343095766,0.0127042239488592
0.02,201808.39533747,1419.60939339309,1313.89155492169,204541.896285785,0.00642358156827648,0.0133640148935333
0.02,201808.39533747,1419.60939339309,1313.89155492169,204541.896285785,0.00642358156827648,0.0133640148935333
0.03,200943.225978044,2120.38232992547,1962.54809743028,205026.156405399,0.00957218401709545,0.0199141928958691
0.04,200087.200439951,2815.26095428914,2605.79461293243,205508.256007172,0.0126797563443947,0.0263787726709742
0.05,199243.125059273,3504.38981444964,3243.76396513039,205991.278838853,0.015747093679961,0.032759414950082
0.06,198407.414012404,4187.8180608222,3876.5007214152,206471.732794641,0.0187749706409972,0.0390577377013553
0.07,197584.927135184,4865.75239308164,4504.19531432327,206954.874842589,0.0217641421481334,0.0452753176968252
0.08,196735.020717276,5537.18724403508,5125.91602211937,207398.12398343,0.0247153442069172,0.0514136919917672
0.09,195916.804537632,6203.70356657961,5743.12542856764,207863.633532779,0.0276292939316004,0.0574743585114097
0.1,195107.487947629,6864.83286613819,6355.3890042032,208327.70981797,0.0305066906834252,0.0634587779124187
0.11,194294.930853189,7520.19804558586,6962.35681495565,208777.48571373,0.033348216600818,0.0693683747125856
0.12,193499.474548216,8170.62261357685,7564.79042292199,209234.887584715,0.0361545367039192,0.0752045379149684
0.13,192708.412460139,8815.70474193678,8162.31701153338,209686.434213609,0.0389262998445496,0.0809686225870697
0.14,191905.525326709,9454.69062432947,8754.23784001141,210114.45379105,0.041664139149214,0.0866619508358473
0.15,191146.03501383,10090.3692889596,9343.13446547948,210579.538768269,0.0443686719048287,0.092285812135929
0.16,190361.087570809,10719.320910338,9925.83968305621,211006.248164204,0.047040501261991,0.0978414657054531
0.17,189598.279448111,11344.1232307778,10504.7395475811,211447.14222647,0.0496802152867595,0.103330139855746
0.18,188835.2953991,11963.5953165669,11078.7397782731,211877.63049394,0.0522883881250031,0.108753033725753
0.19,188067.348069471,12577.4140960618,11647.5404959539,212292.302661487,0.0548655808521078,0.114111318631481
0.2,187303.400638161,13186.1570790977,12211.6757898808,212701.233507139,0.0574123411911049,0.119406138131898
0.21,186557.520997724,13790.9054092071,12772.1460781716,213120.572485103,0.0599292031231023,0.124638607984386
0.22,185822.925983712,14391.3237095298,13328.6401713281,213542.88986457,0.06241668912405,0.129809818994386
0.23,185091.306825023,14986.8575032464,13880.6438910231,213958.808219293,0.0648753094417895,0.134920836559728
0.24,184360.691493284,15577.3706331021,14428.0304152582,214366.092541645,0.0673055623871826,0.139972701338162
0.25,183633.243406864,16163.0631749195,14970.9844605537,214767.291042337,0.0697079354490832,0.144966430802239
0.26,182921.020241409,16745.071417178,15510.5577493642,215176.649407952,0.072082903939813,0.149903018079759
0.27,182207.906471308,17322.0233547508,16045.4789090452,215575.408735104,0.0744309334872311,0.154783434991871
0.28,181495.737117726,17894.0895522617,16575.9052414826,215965.73191147,0.0767524787139724,0.159608630909437
0.29,180805.742007281,18463.4470059754,17103.85274608,216373.041759337,0.0790479840141268,0.164379533895981
0.3,180105.358497799,19026.8893087209,17626.3505617677,216758.598368287,0.0813178840168517,0.169097051496026
0.31,179409.504620956,19585.9343146948,18144.8043229069,217140.243258557,0.0835626047507976,0.173762072250579
0.32,178722.602359623,20141.1273281218,18659.7183467199,217523.448034465,0.0857825605254448,0.178375462624581
0.33,178042.342541744,20692.2938200695,19170.9305136061,217905.56687542,0.0879781585596959,0.18293807223597
0.34,177369.610055284,21239.6092315437,19678.6030388503,218287.822325678,0.0901497977724586,0.187450732864728
0.35,176697.130045369,21782.2554560898,20181.9770166518,218661.36251811,0.0922978654492755,0.191914254944177
0.36,176043.498420705,22322.5923409037,20683.2384228735,219049.329184483,0.0944227425844073,0.196329433757626
0.37,175372.214231647,22856.0614932147,21178.1636787398,219406.439403601,0.0965248045422327,0.200697050148802
0.38,174719.851056931,23387.3707837549,21671.1137568101,219778.335597496,0.0986044129322135,0.20501786228414
0.39,174068.294431614,23914.2310520388,22159.9672590633,220142.492742716,0.1006619257508,0.209292616509752
0.4,173425.578102717,24437.7821068564,22645.7798839023,220509.140093476,0.102697692595883,0.213522042536647
0.41,172784.234427928,24957.038112275,23127.6375959196,220868.910136123,0.104712055588385,0.217706854615979
0.42,172153.873066088,25473.4347686995,23606.8703767019,221234.178211489,0.106705349813241,0.221847752197145
0.43,171510.011045444,25983.3784648519,24080.1474197501,221573.536930046,0.108677903297416,0.225945420099548
0.44,170885.350571157,26491.7952544935,24552.0334346307,221929.179260281,0.110630037548311,0.230000529264606
0.45,170272.669419626,26997.7425427999,25021.654404755,222292.066367181,0.112562066715527,0.234013736062129
0.46,169654.047233195,27498.4418414705,25486.4348793334,222638.923953998,0.114474299582042,0.237985684532646
0.47,169038.61185935,27995.3412443104,25947.7164649193,222981.66956858,0.11636703821943,0.241917005167275
0.48,168430.115277812,28489.1084029028,26406.1174318246,223325.341112539,0.118240578074469,0.245808315174875
0.49,167813.061800724,28977.14041679,26859.2248793108,223649.427096825,0.120095209846804,0.249660220555484
0.5,167212.87471496,29463.8256673687,27311.1057991248,223987.806181454,0.121931216992232,0.253473313723604
0.51,166626.574834176,29948.8066517514,27761.4285601113,224336.810046039,0.123748878101699,0.257248176079615
0.52,166022.144570797,30426.3620192266,28204.8892103966,224653.39580042,0.125548465937517,0.260985377143867
0.53,165442.649476951,30904.3437008322,28648.7661295234,224995.759307306,0.127330249324362,0.264685476800548
0.54,164849.324671149,31375.6370083939,29086.4633012111,225311.424980754,0.129094489121871,0.268349020981824
0.55,164287.889682056,31848.9580681319,29526.0606425347,225662.908392723,0.13084144334057,0.2719765474433
0.56,163695.516913999,32312.242427302,29956.3734170241,225964.132758325,0.132571364540687,0.275568582872946
0.57,163121.366493582,32775.0390957764,30386.2535498586,226282.659139217,0.134284499154502,0.279125642618403
0.58,162559.387982561,33236.3035060536,30814.7325075525,226610.423996167,0.13598109020825,0.282648233404698
0.59,161995.809384923,33693.2996074215,31239.2732204923,226928.382212837,0.137661375434267,0.286136851612564
0.6,161440.46262486,34148.0895140158,31661.7872397814,227250.339378657,0.139325588363698,0.289591984477265
0.61,160883.237965161,34598.5857562805,32080.3388351729,227562.162556615,0.140973958389026,0.29301411026477
0.62,160322.403479651,35044.389254781,32494.5574126094,227861.350147042,0.142606709701493,0.296403697352827
0.63,159775.52096601,35489.3620004489,32908.0235900108,228172.906556469,0.14422406273668,0.299761205757058
0.64,159227.101731024,35930.1562448144,33317.632910803,228474.890886642,0.145826234040456,0.303087087105668
0.65,158680.598478891,36367.5464437647,33724.1030559005,228772.247978556,0.147413435650034,0.306381784149952
0.66,158144.5310199,36803.5350896688,34129.2906345597,229077.356744128,0.148985875861493,0.309645731609598
0.67,157609.66709368,37236.0511157487,34531.2748509967,229376.993060426,0.150543759381744,0.312879356421938
0.68,157077.862006996,37665.5516291478,34930.4792676231,229673.892903767,0.152087287005053,0.316083077527617
0.69,156561.043481384,38094.9708043504,35329.6246191835,229985.638904917,0.153616655315551,0.319257305687203
0.7,156026.48654772,38516.3886368275,35721.3656760267,230264.240860574,0.155132058466934,0.322402445275059
0.71,155503.66813678,38936.9972930932,36112.3720320189,230553.037461892,0.156633685808576,0.325518892100985
0.72,154988.583415344,39355.9038416269,36501.8155421286,230846.3027991,0.158121724712634,0.32860703621393
0.73,154476.753912721,39772.0367172596,36888.7019100025,231137.492539983,0.159596357581933,0.331667259105535
0.74,153975.290968479,40187.2860038774,37274.78398519,231437.360957547,0.161057764532786,0.334699936382685
0.75,153494.602827628,40604.5144817932,37662.7168828695,231761.834192291,0.16250612191661,0.337705436434046
0.76,152950.875201007,41001.4740468245,38031.8643337388,231984.213581571,0.163941605105668,0.340684123115013
0.77,152451.939508282,41406.7830549281,38408.7706639928,232267.493227203,0.165364382808495,0.343636350528163
0.78,151952.932412731,41808.5724249631,38782.4264795927,232543.931317287,0.166774623013823,0.346562468639942
0.79,151473.752932393,42212.3863319224,39157.9743529781,232844.113617293,0.168172489931778,0.34946282051451
0.8,150974.231817376,42607.0983838191,39525.0930676503,233106.423268845,0.169558146504035,0.352337744707897
0.81,150484.297778431,43001.0444299703,39891.5147503279,233376.856958729,0.170931750775024,0.355187571983442
0.82,149998.094712397,43392.6316478471,40255.7616310536,233646.487991297,0.172293459136236,0.358012628385908
0.83,149513.217620182,43781.1949336743,40617.2164031967,233911.628957053,0.173643425016095,0.360813234096911
0.84,149035.189593794,44168.3847575289,40977.410035968,234180.984387291,0.174981799411173,0.363589703990149
