"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
60,182.30808423992,198.960984859754,205.068192477975,208.236610617502,210.17588698767,211.485023259323,212.428212607625,213.140074870118,213.69641450615,214.143177456406,214.509834134438,214.816156588111,215.075904692121,215.298949859979,215.492557961855,215.662195762305,215.812055304368,215.945404980935,216.064830644141,216.172404932229,216.269808572076,216.358418830862,216.439375044432,216.513627870615,216.581976793223,216.645099023522,216.703572013643,216.757891173724,216.80848394297,216.855721059422,216.899925659718,216.941380680769,216.980334927609,217.017008061896,217.051594751151,217.084268126397,217.115182681249,217.144476707206,217.172274373186,217.198687474874,217.223816944873,217.247754135501,217.270581932953,217.292375715235,217.313204180423,217.333130075822,217.352210823843,217.370499077247,217.38804320499,217.404887716822,217.421073644199,217.436638869783,217.451618426355,217.4660447581,217.479947957444,217.49335597264,217.50629479529,217.518788630456,217.530860046164,217.542530108159,217.553818506792,217.564743663682,217.575322833646,217.585572195963,217.595506936934,217.605141323991,217.614488776001,217.623561921738,217.632372662961,217.640932218727,217.649251181475,217.657339553625,217.665206791264,217.672861842323,217.680313175012,217.687568815879,217.694636373465,217.701523068158,217.708235754203,217.714780945055,217.72116483121,217.727393304936,217.733471971586,217.73940617227,217.745200996915,217.750861298169,217.756391706583,217.761796642918,217.767080329608,217.772246801107,217.777299914818,217.782243360691,217.787080672494,217.791815229726,217.796450272975,217.800988907733,217.805434109389,217.809788735583,217.81405552518,217.818237109866,217.822336016638,217.826354673543,217.83029541415,217.834160483046,217.837952039771,217.841672160243,217.845322845749,217.848906022307,217.852423544707,217.855877201986
60,465.677841349421,637.308255922164,721.711343399593,771.606624556571,804.51328095162,827.831941785772,845.215509596955,858.672168801897,869.396617561724,878.143834804801,885.414231830313,891.552560589062,896.80404974338,901.34788946671,905.318053128442,908.816710188257,911.923133008524,914.699769709042,917.196481912168,919.453563204326,921.503928816127,923.37473035662,925.08856431551,926.664388762699,928.118227253723,929.463715421805,930.712530220932,931.874728598552,932.959019054363,933.972980901814,934.923241245884,935.815619955929,936.655248946819,937.44667089374,938.193919800409,938.900595702878,939.569915547109,940.204764348681,940.807738137065,941.381178649497,941.927202502756,942.447730960085,942.944509005015,943.419125846507,943.873032000945,944.307554444729,944.723908999063,945.1232113091,945.506487920146,945.874684599418,946.228674136048,946.569263238235,946.897198676628,947.213172745343,947.517828145165,947.811762342318,948.095531478953,948.369653889263,948.634613255422,948.890861452583,949.1388211301,949.378888028013,949.611433088171,949.836804367398,950.055328775613,950.267313655699,950.47304823011,950.672804908413,950.866840504742,951.055397321376,951.238704177498,951.416977319106,951.590421278166,951.759229658402,951.92358584342,952.083663676938,952.239628064153,952.391635545851,952.539834843725,952.684367289449,952.825367287732,952.962962780694,953.097275597782,953.22842182906,953.356512153837,953.481652150703,953.603942591501,953.723479711209,953.840355459749,953.954657736374,954.066470611626,954.17587453355,954.282946525927,954.387760354218,954.49038671216,954.590893372583,954.689345332195,954.785804965136,954.880332138395,954.972984349095,955.063816834425,955.152882682936,955.24023293727,955.325916693921,955.40998119452,955.492471906745,955.573432618184,955.652905504214,955.730931202732,955.807548888625
60,619.323977071608,1051.39777925744,1358.74054116889,1584.98016210132,1757.3867577034,1892.73167594788,2001.63629942235,2091.07903520968,2165.80775204029,2229.154712121,2283.52304092436,2330.68731546896,2371.98536121398,2408.44426834024,2440.86523600381,2469.88238318023,2496.00393709689,2519.64194778028,2541.13396489421,2560.75911672575,2578.75020476622,2595.30291798809,2610.58293520298,2624.73145828431,2637.86956730064,2650.10167749932,2661.51830957122,2672.19832173001,2682.21072907979,2691.61619421398,2700.46824896963,2708.81431385642,2716.69654515088,2724.15254507828,2731.21595629697,2737.91697501582,2744.28279123079,2750.33792765059,2756.10457785964,2761.60287149127,2766.85111354971,2771.8659721956,2776.66267060986,2781.25513708245,2785.65613998987,2789.87741198072,2793.92973561253,2797.8230518037,2801.56653714892,2805.16867559405,2808.63732258663,2811.97976217812,2815.20275805616,2818.31259917471,2821.31514069393,2824.21584072884,2827.01979343623,2829.73175886247,2832.35618987815,2834.89725654842,2837.35886826049,2839.74469374705,2842.05817933108,2844.30256552844,2846.48090218301,2848.59606227815,2850.65075458681,2852.64753520696,2854.58881821452,2856.47688533119,2858.31389493588,2860.10189023296,2861.8428068588,2863.53847987971,2865.19065019495,2866.80097055334,2868.371011022,2869.90226411786,2871.39614794889,2872.85401409781,2874.27715063712,2875.66678387607,2877.02408303771,2878.35016358657,2879.64609026378,2880.91287993208,2882.15150424922,2883.3628921501,2884.54793216677,2885.70747459604,2886.84233353875,2887.95328880543,2889.04108772126,2890.1064467491,2891.15005312367,2892.17256630035,2893.17461932856,2894.15682020608,2895.11975305066,2896.06397930578,2896.99003880818,2897.89845082205,2898.78971500715,2899.66431234292,2900.52270599123,2901.36534209284,2902.19265058284,2903.00504588754,2903.80292762181,2904.586681263
60,684.454381851845,1287.6057667559,1824.06174364914,2301.13489005138,2725.77913288571,3104.62489394318,3443.70572023405,3748.32956984296,4023.075238236,4271.85271936421,4497.98608576373,4704.29894318797,4893.19297693219,5066.71596384492,5226.6212092551,5374.41331644598,5511.3901540502,5638.67536723024,5757.24567255908,5867.95341788897,5971.54527115851,6068.6777481979,6159.93015775078,6245.8154231906,6326.78927398235,6403.25775276911,6475.58362918006,6544.09224970534,6609.07606591525,6670.7985038145,6729.49758585082,6785.3893039199,6838.66918520192,6889.51470126958,6938.08869381216,6984.53942369199,7029.00230153555,7071.60188413304,7112.45249660794,7151.65930647319,7189.31920670052,7225.52178864913,7260.34978093219,7293.87978545597,7326.18276397969,7357.32461754799,7387.36675678066,7416.36630898486,7444.37649721242,7471.44699139842,7497.62419928625,7522.95152915082,7547.46962774026,7571.21659588668,7594.22818436069,7616.53797188127,7638.17752725787,7659.1765572974,7679.56304179633,7699.36335698036,7718.60238864677,7737.30363570395,7755.48930532943,7773.18040039076,7790.39679986672,7807.15733289664,7823.47984712736,7839.3812716607,7854.87767546188,7869.98432104349,7884.71571457014,7899.08565190758,7913.10726160351,7926.79304474663,7940.15491182178,7953.20421732005,7965.95179163882,7978.40797102994,7990.58262040024,8002.48517000789,8014.12463700706,8025.50964150107,8036.6484312868,8047.54890188075,8058.21861504445,8068.66481619988,8078.89445083222,8088.91417983201,8098.73039390393,8108.34922709854,8117.77656957628,8127.01807960105,8136.07919490528,8144.96514312428,8153.6809520631,8162.23148123486,8170.6213849966,8178.85512559338,8186.93702046548,8194.87122950858,8202.66176211037,8210.3124839098,8217.82712316936,8225.20927684793,8232.46241631963,8239.58989273067,8246.59494230068,8253.48069109073,8260.2501596648,8266.90626756301
60,713.246079378499,1390.9684667671,2041.46279206719,2667.00563844946,3268.95265478903,3848.30992079026,4405.92921896289,4942.59995878353,5459.0842994603,5956.14280096112,6434.52669781544,6894.98564107733,7338.26047448779,7765.08059907039,8176.16177105742,8572.19877480602,8953.86508379752,9321.81125026674,9676.65910390406,10019.0088422386,10349.432602068,10668.4762755575,10976.6598399621,11274.4779719965,11562.4011634995,11840.8718711849,12110.3219033181,12371.1472804943,12623.7263715536,12868.4324868036,13105.5982175272,13335.5482966098,13558.5932362353,13775.0265465007,13985.1213494781,14189.1350706867,14387.3299353173,14579.9380855066,14767.1697391774,14949.2642174671,15126.4117285155,15298.8049741859,15466.6269282865,15630.0519769007,15789.2460919095,15944.3672859246,16095.5725686164,16242.9921897274,16386.7693306883,16527.0344990257,16663.912621235,16797.5221530197,16927.9766235556,17055.3844482865,17179.8488153875,17301.469097872,17420.3400683461,17536.5524217444,17650.1929845074,17761.3449102766,17870.0878624467,17976.4988091504,18080.6506792224,18182.6134985027,18282.4547924817,18380.239340535,18476.0267921426,18569.8831830394,18661.859727285,18752.0138447752,18840.3986005507,18927.065045806,19012.0623108079,19095.4376928422,19177.2367393332,19257.5033265207,19336.279733731,19413.606839874,19489.5239495637,19564.0688647444,19637.2781586408,19709.1871495223,19779.8299529172,19849.2411278154,19917.4487140154,19984.4830546719,20050.3782455015,20115.1609397482,20178.8588889179,20241.4989361966,20303.107052952,20363.7083734774,20423.3272281882,20481.9871748984,20539.7110291853,20596.5209867462,20652.4385705468,20707.4843531038,20761.6784722457,20815.0404669109,20867.5892519122,20919.345289863,20970.3216135088,21020.5381334663,21070.0116309454,21118.7583990899,21166.7942608305,21214.1317499919,21260.7918859668,21306.7860600881
60,727.307552087956,1437.03725154838,2134.78587190885,2821.99400141673,3499.44757949601,4167.66237233883,4827.00929900805,5477.77386950801,6120.18433469499,6754.43315923895,7380.68324851932,7999.07772831917,8609.74451540494,9212.79979929292,9808.35245445529,10396.503012542,10977.3467236772,11550.9687156931,12117.4697264181,12676.929868505,13229.4345584362,13775.0676350786,14313.9117869287,14846.0481199818,15371.5584667797,15890.5263580221,16403.0307177521,16909.1527801686,17408.9724559242,17902.5741128492,18390.0383857291,18871.4416969382,19346.8655492271,19816.3782828931,20280.0833687698,20738.052622433,21190.3611789397,21637.0827736297,22078.2983714259,22514.0952587663,22944.5467982393,23369.7148545104,23789.6949222013,24204.5336283102,24614.3488788507,25019.1940979189,25419.1639848443,25814.2880458207,26204.6588303378,26590.3482961149,26971.4259028879,27347.9602944926,27720.0199074557,28087.6730535004,28450.9875792151,28810.0279878856,29164.8587899216,29515.5439781395,29862.146652438,30204.728423883,30543.3501688276,30878.0719249182,31208.9526146897,31536.0515153375,31859.4263259932,32179.1318397093,32495.2544490619,32807.7636571703,33116.7988093217,33422.3831083687,33724.56863576,34023.4066238048,34318.9474696257,34611.2407509829,34900.3352417585,35186.278925105,35469.1189956123,35748.9016708966,36025.672517268,36299.476223097,36570.3564540027,36838.3560624905,37103.517341466,37365.8750836844,37625.4862009584,37882.3958933397,38136.6205376459,38388.2093561118,38637.2005878851,38883.6317597628,39127.5397944866,39368.9627544693,39607.9340256154,39844.4896569932,40078.6602085678,40310.486425023,40539.9966592192,40767.2277165626,40992.2050584857,41214.9670738314,41435.5406568602,41653.9291828549,41870.2222424737,42084.4489782492,42296.5800023577,42506.6715992327,42714.7514723417,42920.8461240504,43124.9811597604,43327.1827718836
60,735.078612343332,1460.26877011017,2179.43149816297,2893.56012818875,3603.19432290899,4308.68043962532,5010.26518128555,5708.13384325018,6402.43230749248,7093.27877382056,7780.77137253248,8464.99346154823,9146.01682096676,9823.90443872383,10498.7127027854,11170.4903945225,11839.2820091989,12505.1272077931,13168.0637274432,13828.1247674433,14485.3414692355,15139.7426776731,15791.3553484985,16440.2041547034,17086.3127500005,17729.7041436894,18370.3959697496,19008.4113114084,19643.7676680002,20276.4835979816,20906.5730558567,21534.0615538053,22158.9490919075,22781.2647626285,23401.0178019527,24018.222115508,24632.8890755663,25245.0348414696,25854.675490255,26461.8157845691,27066.4709218489,27668.6544824642,28268.3751818575,28865.6392146364,29460.4693594709,30052.8704166148,30642.8505132886,31230.4321913494,31815.6110791293,32398.4014714597,32978.8129452979,33556.8561186525,34132.5393628075,34705.8750077045,35276.8736194033,35845.5416125182,36411.8893644267,36975.9261291788,37537.648337652,38097.0887424903,38654.2454048388,39209.1267691919,39761.7421833282,40312.1015156272,40860.2133782923,41406.0861788424,41949.7300297559,42491.149622208,43030.3580954835,43567.362875366,44102.1727158098,44634.7963542847,45165.2425122222,45693.5198951979,46219.6277345056,46743.5937907603,47265.4173188453,47785.1062295307,48302.6688937464,48818.1145314179,49331.4521416464,49842.6917503607,50351.8550436288,50858.8995104654,51363.8932361302,51866.8338684737,52367.7080876291,52866.5350286565,53363.3233080854,53858.0815323211,54350.8182971683,54841.5301837445,55330.2497428462,55816.9736770577,56301.7054362462,56784.4715995343,57265.2596076506,57744.0862623661,58220.9714547041,58695.901518685,59168.8961491242,59639.9635778483,60109.1141428458,60576.3467625762,61041.6865705327,61505.133761693,61966.6969193005,62426.3865466963,62884.2088642728,63340.1733438055
60,739.823869202475,1473.52780158593,2203.79602492029,2931.31770774606,3656.46801083416,4379.48728380771,5100.54707295835,5819.77594093156,6537.27445406871,7253.12433855446,7967.39320965674,8680.13809400051,9391.40792253945,10101.2451325198,10809.6873969107,11516.7678125681,12222.5160346904,12926.958912399,13630.1190461443,14332.0208530627,15032.683617649,15732.1257291162,16430.3643385862,17127.4152414975,17823.2935503275,18518.0134233013,19211.5874614202,19904.0278773056,20595.346037898,21285.5520009732,21974.6554292143,22662.667080232,23349.5979947797,24035.4547772307,24720.2434941974,25403.9769184573,26086.6583015743,26768.2974035832,27448.8995732011,28128.4722060918,28807.021423834,29484.5543430524,30161.0759518525,30836.5913429782,31511.1070084702,32184.6275202006,32857.1579005439,33528.7038589885,34199.269114093,34868.8586529804,35537.4769888349,36205.1280614042,36871.8165064671,37537.54615163,38202.3204406353,38866.1433236128,39529.0186809226,40190.9503444403,40851.9396318684,41511.9940037411,42171.1148357767,42829.3052313066,43486.5681579974,44142.9069214354,44798.3251337096,45452.8253480961,46106.4092679372,46759.081612556,47410.84375812,48061.699051069,48711.6500371001,49360.6992317913,50008.8491182651,50656.1021450853,51302.461760543,51947.9286765686,52592.4957789857,53236.184367999,53878.987145976,54520.9072096534,55161.9470380015,55802.1219195011,56441.3988910115,57079.8063327982,57717.3431598614,58354.0047568201,58989.8024158001,59624.7334332803,60258.8001458348,60892.0040678979,61524.3469555569,62155.8332654667,62786.4564360393,63416.2266791464,64045.1513692149,64673.2132306675,65300.4252481134,65926.7847107577,66552.300829579,67176.9720408691,67800.7992408701,68423.788736117,69045.9328637266,69667.2359440239,70287.7024934717,70907.3327053437,71526.1280833644,72144.083973495,72761.2139208237,73377.5116963131
60,742.921816592004,1481.81216266308,2218.56140279558,2953.64870722633,3687.33492758466,4419.78605117306,5151.12224897207,5881.43244902931,6610.78669755153,7339.24168648675,8066.84415367408,8793.6341308471,9519.64566474929,10244.9066894073,10969.4449680004,11693.2828587244,12416.4410978276,13138.9383230367,13860.7913562916,14582.0147458526,15302.6231197534,16022.6292966094,16742.045163361,17460.8815782632,18179.1487295004,18896.8566028873,19614.0130144207,20330.6274527636,21046.7074759718,21762.2601863748,22477.2926814953,23191.8111693975,23905.8231812896,24619.3334355414,25332.3476114273,26044.8719621373,26756.9106351178,27468.4692159346,28179.5518272962,28890.1633583301,29600.3078027967,30309.9895876312,31019.2124114926,31727.9800089784,32436.2963422546,33144.1647501847,33851.5897230319,34558.570711622,35265.1149975869,35971.2239941651,36676.9008129199,37382.1483028157,38086.9689526254,38791.3657465234,39495.3412584311,40198.8976679311,40902.0375821415,41604.7633592531,42307.076735534,43008.981203463,43710.4782487985,44411.570053246,45112.2586230406,45812.5458222112,46512.4335729491,47211.923896304,47911.0182732913,48609.7188843033,49308.0271677536,50005.9450840197,50703.4743536315,51400.6165795108,52097.3733353712,52793.7461656213,53489.7400417789,54185.3499858944,54880.5752921122,55575.4273617893,56269.9027199953,56964.0030556233,57657.7300385205,58351.0864828285,59044.0656087787,59736.6759864832,60428.9188609936,61120.7973922266,61812.3053562173,62503.4481566464,63194.2273803365,63884.6435507206,64574.6977078679,65264.3899083371,65953.7267519358,66642.7013106457,67331.3136797606,68019.5728619806,68707.4768409945,69395.0329396268,70082.2254826974,70769.0684465581,71455.559369055,72141.6966588551,72827.4860906873,73512.930547308,74198.022039589,74882.7660656556,75567.1634581195,76251.2127466537,76934.9188840853,77618.2796651428
